SKOTTISH_STRAJT,BREED.CAT,Скоттиш-страйт,830
SKOTTISH_FOLD,BREED.CAT,Скоттиш-фолд,840
SNOU_SHU,BREED.CAT,Сноу-Шу,850
SOKOKE,BREED.CAT,Сококе,860
SOMALIJSKAJA_KOSHKA,BREED.CAT,"Сомалийская кошка",870
STERLING,BREED.CAT,Стерлинг,880
TAJSKAJA,BREED.CAT,Тайская,890
TAJSKIJ_BOBTEJL,BREED.CAT,"Тайский бобтейл",900
TIFFANI,BREED.CAT,Тиффани,910
TOJBOB,BREED.CAT,Тойбоб,920
TOJGER,BREED.CAT,Тойгер,930
TONKINEZ,BREED.CAT,Тонкинез,940
TURECKAJA_ANGORA,BREED.CAT,"Турецкая ангора",950
TURECKAJA_KOSHKA_VAN,BREED.CAT,"Турецкая кошка Ван",960
UKRAINSKIJ_LEVKOJ,BREED.CAT,"Украинский левкой",970
URALSKIJ_REKS,BREED.CAT,"Уральский рекс",980
USSURI,BREED.CAT,Уссури,990
FORINVAJT,BREED.CAT,Форинвайт,1000
HAJLEND_FOLD,BREED.CAT,Хайленд-фолд,1010
HAJLENDER,BREED.CAT,Хайлендер,1020
HAO_MANI,BREED.CAT,"Хао мани",1030
CEJLONSKAJA,BREED.CAT,Цейлонская,1040
CHAUSI,BREED.CAT,Чауси,1050
CHITO,BREED.CAT,Чито,1060
SHANTILLI,BREED.CAT,Шантилли,1070
SHARTREZ,BREED.CAT,Шартрез,1080
SHOTLANDSKAJA_VISLOUHAJA,BREED.CAT,"Шотландская вислоухая",1090
JEGEJSKAJA,BREED.CAT,Эгейская,1100
JEKZOTICHESKAJA_KOROTKOSHERSTNAJA,BREED.CAT,"Экзотическая короткошерстная",1110
JAVANSKAJA_KOSHKA,BREED.CAT,"Яванская кошка",1120
JAPONSKIJ_BOBTEJL,BREED.CAT,"Японский бобтейл",1130
AVSTRALIJSKAJA_OVCHARKA,BREED.DOG,"Австралийская овчарка",10
AVSTRALIJSKAJA_PASTUSHJA_SOBAKA,BREED.DOG,"Австралийская пастушья собака",20
AVSTRALIJSKIJ_KELPI,BREED.DOG,"Австралийский келпи",30
AVSTRALIJSKIJ_TERER,BREED.DOG,"Австралийский терьер",40
AVSTRALIJSKIJ_SHELKOVISTYJ_TERER,BREED.DOG,"Австралийский шелковистый терьер",50
AVSTRIJSKAJA_GONCHAJA,BREED.DOG,"Австрийская гончая",60
AVSTRIJSKIJ_BRUDASTYJ_BRAKK,BREED.DOG,"Австрийский брудастый бракк",70
AVSTRIJSKIJ_PINCHER,BREED.DOG,"Австрийский пинчер",80
AZAVAK,BREED.DOG,Азавак,90
AZORSKAJA_PASTUSHJA_SOBAKA,BREED.DOG,"Азорская пастушья собака",100
AIDI,BREED.DOG,Аиди,110
AKITA_INU,BREED.DOG,Акита-ину,120
ALAN,BREED.DOG,Алан,130
ALANO,BREED.DOG,Алано,140
ALPIJSKAJA_TAKSOOBRAZNAJA_GONCHAJA,BREED.DOG,"Альпийская таксообразная гончая",150
ALJASKINSKIJ_KLI_KAJ,BREED.DOG,"Аляскинский кли-кай",160
ALJASKINSKIJ_MALAMUT,BREED.DOG,"Аляскинский маламут",170
AMERIKANSKAJA_AKITA,BREED.DOG,"Американская акита",180
AMERIKANSKAJA_JESKIMOSSKAJA_SOBAKA,BREED.DOG,"Американская эскимосская собака",190
AMERIKANSKIJ_BANDOG,BREED.DOG,"Американский бандог",200
AMERIKANSKIJ_BULDOG,BREED.DOG,"Американский бульдог",210
AMERIKANSKIJ_VODJANOJ_SPANIEL,BREED.DOG,"Американский водяной спаниель",220
AMERIKANSKIJ_GOLYJ_TERER,BREED.DOG,"Американский голый терьер",230
AMERIKANSKIJ_KOKER_SPANIEL,BREED.DOG,"Американский кокер-спаниель",240
AMERIKANSKIJ_MASTIF,BREED.DOG,"Американский мастиф",250
AMERIKANSKIJ_PITBULTERER,BREED.DOG,"Американский питбультерьер",260
AMERIKANSKIJ_STAFFORDSHIRSKIJ_TERER,BREED.DOG,"Американский стаффордширский терьер",270
AMERIKANSKIJ_FOKSHAUND,BREED.DOG,"Американский фоксхаунд",280
ANATOLIJSKAJA_OVCHARKA,BREED.DOG,"Анатолийская овчарка",290
ANGLIJSKAJA_ENOTOVAJA_GONCHAJA,BREED.DOG,"Английская енотовая гончая",300
ANGLIJSKAJA_OVCHARKA,BREED.DOG,"Английская овчарка",310
ANGLIJSKIJ_BULDOG,BREED.DOG,"Английский бульдог",320
ANGLIJSKIJ_VODJANOJ_SPANIEL,BREED.DOG,"Английский водяной спаниель",330
ANGLIJSKIJ_KOKER_SPANIEL,BREED.DOG,"Английский кокер-спаниель",340
